,Unnamed: 0,STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
7,7,Andhra Pradesh,Anantapur,ANANTHAPUR,,M.C. Mahanadi,6700.0,,
8,8,Andhra Pradesh,Anantapur,"G. Subramanya Sastry , S/O Venkata Rama Sastry","D. No.. 7-4-37b, 7-4-37 C, Opp. Gram Panchayat , Uravakonda",,400.0,77.2577817,14.9441154
9,9,Andhra Pradesh,Anantapur,KMR Farmers Warehouse,"S.No.258/B, Vajrakarur V& M, Uravakonda Thaluka, Anantapur",,2694.44,77.6005911,14.6818877
10,10,Andhra Pradesh,Anantapur,M/S Bhagya Lahiri Godowns,"Sy. No.193/2-Kallur Village- Garladinne Mandal, Anantpur",,291.45,77.6005911,14.6818877
11,11,Andhra Pradesh,Anantapur,M/S Himashikar Cold Storage Pvt. Ltd.,Rahamathpur,,3930.0,77.4960078,13.8155465
12,12,Andhra Pradesh,Anantapur,M/S Kaveri Cold Storage Pvt. Ltd.,Rahamathpur,,4200.0,77.4960078,13.8155465
13,13,Andhra Pradesh,Anantapur,M/S Premier Cold Storage Pvt. Ltd.,Hindupur,,5500.0,77.5009298,13.8222599
14,14,Andhra Pradesh,Anantapur,M/S Sree Shirdi Sainaatha Warehouse,"Survey No.599-3, Village & Mandal : Beluguppa, District : Ananthapur",,4870.0,77.6307018,14.6757944
15,15,Andhra Pradesh,Anantapur,"M/S Sri Lakshmi Narasimha Rural Warehouse, Partnership Firm By Smt. Payyavula Obulamma And Smt. Payyavula Padma, Sy.No.38, Chinnamastur Village, Uravakonda Mandal, Anantapur Dist.","M/S Sri Lakshmi Narasimha Rural Warehouse, Partnership Firm By Smt. Payyavula Obulamma And Smt. Payyavula Padma, Sy.No.38, Chinnamastur Village, Uravakonda Mandal, Anantapur Dist.",,5572.0,77.6307018,14.6757944
16,16,Andhra Pradesh,Anantapur,M/S Sri Lakshminarasimha Rural Warehouse(Unit II),"Sy No 38, Chinnamastur Village, Uravakonda Mandal",,5000.0,77.2577817,14.9441154
17,17,Andhra Pradesh,Anantapur,Ms Tadipatri Cold Storage Pvt Ltd,,Shri B Sadasiva Reddy,8000.0,,
18,18,Andhra Pradesh,Anantapur,S.V.Farmers Godowns (Somula Rajagopal Reddy),"Sy.No.188 & 193, Guntakal Bellay Road, Konakondla Village, Guntakal Mandal",,9764.0,77.3769836,15.1660706
19,19,Andhra Pradesh,Anantapur,Siddartha Rural Farmers Warehouse II (Proprietorship : S. Chandrasekar Reddy),"Survey No.265/C And 265/D, Village : Puliprodduturu Mandal : Tadipathri, District Ananthapur",,4527.0,77.6307018,14.6757944
20,20,Andhra Pradesh,Anantapur,Smt K Lakshmi Devi Rural Godown,"Sy.No.RS 100 & 101, Bommanhal Village And Mandal, Ananthapur",,332.0,77.6005911,14.6818877
21,21,Andhra Pradesh,Anantapur,Sri S. Chandra Sekhar Reddy (M/S Siddartha Rural Farmers Warehouse ),"Survey No. 264/1, Puli Prodduturu Village, Tadipatri Mandal",,5000.0,78.0092047,14.9091024
22,22,Andhra Pradesh,Anantapur,Sri Tirumala Rural Godown ( E. Venkateswarulu ),"Survey No. 372/2A, Subbaraopeta, Nandikotkur",,860.0,78.2649533,15.8555909
23,23,Andhra Pradesh,Chittoor,A1madina Fruits,"4-142/5, TARAKA RAMATAKIS, BACK SIDE, MADANAPALLY,",Cc.Chanbasha,0.0,,
24,24,Andhra Pradesh,Chittoor,Akbaralibanana Cold Storage,BLOCK39 PUTTHUR,Akbarali,0.0,75.2070644,12.7686756
25,25,Andhra Pradesh,Chittoor,Ammulubanana Cold Storage,MARKET ROAD PUTTHUR,Raghuvaran,0.0,75.2486267,12.8402843
26,26,Andhra Pradesh,Chittoor,Balajibanana Cold Storage,BLOCK NO 28 MARKET PUTTHUR,Krishnakannaiah,0.0,75.2070644,12.7686756
27,27,Andhra Pradesh,Chittoor,Balajibanana Cold Storage,BLOCK NO 22 MARKET PUTTHUR,Venugopal,0.0,75.2070644,12.7686756
28,28,Andhra Pradesh,Chittoor,Bismilla Fruits,"KALLUR, BACK SIDE POLICE STATION, KALLUR",Nabisahab,6.0,79.0004517,13.5583316
29,29,Andhra Pradesh,Chittoor,Bl. Fruits,"SOMA, AH COM, OLD BUS STAND, PUNGANOOR,",D.Ramthulla,7.0,,
30,30,Andhra Pradesh,Chittoor,Capricon Food Products Pvt Ltd,CORICORN [At]CORPRICORN GROOP[Dot]COM,Y.RAVI SHANKAR,6.0,,
31,31,Andhra Pradesh,Chittoor,Chakraarthiba Chakravarthibanana Cold Storage,"BLOCK-3, MANGO MARKET, AGRICULTURE MARKET, TIRUPAT",Chakravarthi,0.0,79.4191795,13.6287557
32,32,Andhra Pradesh,Chittoor,Darmasai Fruits,BLOCK NO 18 MARKET PUTTHUR,R.Urali,0.0,75.2070644,12.7686756
33,33,Andhra Pradesh,Chittoor,G. Bhanuprakash,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555.0,,
34,34,Andhra Pradesh,Chittoor,G. Jagadish,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555.0,,
35,35,Andhra Pradesh,Chittoor,G. Lavanya,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555.0,,
36,36,Andhra Pradesh,Chittoor,G. Saraswati,"Bhanuprakashnagar, Venkatapuram Village,Yarpedu Mandal",,9555.0,,
37,37,Andhra Pradesh,Chittoor,G.Venkatramana Reddy Fruits,PUNGANOOR OLD BUS STAND,B.Sudhakar,5.0,78.5712022,13.3664136
38,38,Andhra Pradesh,Chittoor,Ghousekhan Fruits,"KHADIRI ROAD, OPP GOVT HOSPITAL, MADANA PALLY,",Ghousekhan,0.0,,
39,39,Andhra Pradesh,Chittoor,Heritage Foods Limited,HFILSPM[At]GMAIL[Dot]COM,J.Reddeppa,25.0,,
40,40,Andhra Pradesh,Chittoor,Heritage Foods Limted,MANJUNATH[Dot]GC[At]HERITAGETETAIL[Dot]COM,Sri Dgm Manjunatha,1800.0,,
41,41,Andhra Pradesh,Chittoor,Jain Unit 1,GOLLPALLI,Gollapalli,17000.0,80.9093148,16.7269099
42,42,Andhra Pradesh,Chittoor,K N M Cold Storageshri,,Shri K Reddy Vara Prasad,6400.0,,
43,43,Andhra Pradesh,Chittoor,KSA AGRI Cold Storage PVT LTD.,PUNGANOOR,Iftekhr Ali Ahmed,9000.0,78.5713232,13.368608
44,44,Andhra Pradesh,Chittoor,Kaleem Fruitsand Cold Storage,MARKET KUPPAM,Naheem,0.0,78.342291,12.7461129
